Directive ID,Administration,President,Directive Type,Number,Title,Signed Date,Published Date,Federal Register Citation,Federal Register URL,Official PDF URL,Related Directive IDs,Relationship Notes,First Seen,Last Changed,Content Fingerprint,Review Status,ARRP Record IDs,Source IDs,Disposition Rationale,Reviewed Date
2021-09213,Biden,Joseph R. Biden Jr.,Executive Order,14025,Worker Organizing and Empowerment,2021-04-26,2021-04-29,86 FR 22829,https://www.federalregister.gov/documents/2021/04/29/2021-09213/worker-organizing-and-empowerment,https://www.govinfo.gov/content/pkg/FR-2021-04-29/pdf/2021-09213.pdf,,"Revokes: EO 13845, July 19, 2018; EO 13931, June 26, 2020",2026-07-21,2026-07-21,c039c770a0071fed5f6d0e777fe7c0982fad1eaefa8c109d4d4fec8bcb0680c8,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09262,Biden,Joseph R. Biden Jr.,Proclamation,10188,"Workers Memorial Day, 2021",2021-04-27,2021-04-30,86 FR 22833,https://www.federalregister.gov/documents/2021/04/30/2021-09262/workers-memorial-day-2021,https://www.govinfo.gov/content/pkg/FR-2021-04-30/pdf/2021-09262.pdf,,,2026-07-21,2026-07-21,0c8bc338726e9dcf35ca9b3ad783fcef46bfd9f5955c78d58c233c18c6743ef9,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09263,Biden,Joseph R. Biden Jr.,Executive Order,14026,Increasing the Minimum Wage for Federal Contractors,2021-04-27,2021-04-30,86 FR 22835,https://www.federalregister.gov/documents/2021/04/30/2021-09263/increasing-the-minimum-wage-for-federal-contractors,https://www.govinfo.gov/content/pkg/FR-2021-04-30/pdf/2021-09263.pdf,,"Revokes: EO 13838, May 25, 2018 Supersedes: EO 13658, February 12, 2014 Revoked by: EO 14236, March 14, 2025",2026-07-21,2026-07-21,486a15314e9bd353b9c4a9f07c73807835e27023fe19a296062e8effb34dd66b,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09570,Biden,Joseph R. Biden Jr.,Proclamation,10189,"Asian American and Native Hawaiian/Pacific Islander Heritage Month, 2021",2021-04-30,2021-05-05,86 FR 23843,https://www.federalregister.gov/documents/2021/05/05/2021-09570/asian-american-and-native-hawaiianpacific-islander-heritage-month-2021,https://www.govinfo.gov/content/pkg/FR-2021-05-05/pdf/2021-09570.pdf,,,2026-07-21,2026-07-21,9525d0b3b78d806d4089a0f8e0ac84d56521beeb5a644429ed6b1017f44adc2c,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09571,Biden,Joseph R. Biden Jr.,Proclamation,10190,"Jewish American Heritage Month, 2021",2021-04-30,2021-05-05,86 FR 23845,https://www.federalregister.gov/documents/2021/05/05/2021-09571/jewish-american-heritage-month-2021,https://www.govinfo.gov/content/pkg/FR-2021-05-05/pdf/2021-09571.pdf,,,2026-07-21,2026-07-21,ffd2351c2a0b423bbec5390b287636622d7a393e0584c73120fcd47413cdc66d,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09572,Biden,Joseph R. Biden Jr.,Proclamation,10191,"National Building Safety Month, 2021",2021-04-30,2021-05-05,86 FR 23847,https://www.federalregister.gov/documents/2021/05/05/2021-09572/national-building-safety-month-2021,https://www.govinfo.gov/content/pkg/FR-2021-05-05/pdf/2021-09572.pdf,,,2026-07-21,2026-07-21,2accbaea10a838d91a008779a3f8e2ab5555b0b80fcbba404c8a4be2015bfbbd,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09573,Biden,Joseph R. Biden Jr.,Proclamation,10192,"National Foster Care Month, 2021",2021-04-30,2021-05-05,86 FR 23849,https://www.federalregister.gov/documents/2021/05/05/2021-09573/national-foster-care-month-2021,https://www.govinfo.gov/content/pkg/FR-2021-05-05/pdf/2021-09573.pdf,,,2026-07-21,2026-07-21,b731aaf15512ec14d18cf87473619e69ab142ef4485a69f7d799abd7ce6bbccb,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09574,Biden,Joseph R. Biden Jr.,Proclamation,10193,"National Mental Health Awareness Month, 2021",2021-04-30,2021-05-05,86 FR 23851,https://www.federalregister.gov/documents/2021/05/05/2021-09574/national-mental-health-awareness-month-2021,https://www.govinfo.gov/content/pkg/FR-2021-05-05/pdf/2021-09574.pdf,,,2026-07-21,2026-07-21,521f814557f1eba75c692ce887a9cbbb50f4e900b45f50a002a1f338694d8d7c,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09591,Biden,Joseph R. Biden Jr.,Proclamation,10194,"National Physical Fitness and Sports Month, 2021",2021-04-30,2021-05-05,86 FR 23853,https://www.federalregister.gov/documents/2021/05/05/2021-09591/national-physical-fitness-and-sports-month-2021,https://www.govinfo.gov/content/pkg/FR-2021-05-05/pdf/2021-09591.pdf,,,2026-07-21,2026-07-21,cd25154c60e0ff8d46a1c5c4a0ba419d4b7f6f44c993a0fb986ff770fcc42e9b,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09592,Biden,Joseph R. Biden Jr.,Proclamation,10195,"National Teacher Appreciation Day and National Teacher Appreciation Week, 2021",2021-04-30,2021-05-05,86 FR 23855,https://www.federalregister.gov/documents/2021/05/05/2021-09592/national-teacher-appreciation-day-and-national-teacher-appreciation-week-2021,https://www.govinfo.gov/content/pkg/FR-2021-05-05/pdf/2021-09592.pdf,,,2026-07-21,2026-07-21,9df08c0a5d144041d1d6392cdf56a412bd3c92231f5d826fd28835948e5ea65c,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
